Pokemon,Gender,Location,Version,Chance,Condition,Max Level,Min Level,Method,Evolves From
caterpie,4,eterna-forest-area,platinum,4,slot2-firered,13,13,walk,
caterpie,4,sinnoh-route-204-south-towards-jubilife-city,diamond,4,slot2-firered,6,6,walk,
caterpie,4,sinnoh-route-204-south-towards-jubilife-city,pearl,4,slot2-firered,6,6,walk,
caterpie,4,sinnoh-route-204-south-towards-jubilife-city,platinum,4,slot2-firered,5,5,walk,
caterpie,4,sinnoh-route-204-north-towards-floaroma-town,platinum,4,slot2-firered,10,10,walk,
caterpie,4,johto-route-30-area,gold,5,time-day,4,4,walk,
caterpie,4,johto-route-30-area,crystal,20,time-morning,4,4,walk,
caterpie,4,johto-route-30-area,heartgold,1,time-day,4,4,walk,
caterpie,4,johto-route-31-area,gold,5,time-morning,5,5,walk,
caterpie,4,johto-route-31-area,crystal,20,time-morning,5,5,walk,
caterpie,4,johto-route-31-area,heartgold,1,time-day,5,5,walk,
caterpie,4,ilex-forest-area,heartgold,10,"time-morning, radio-off",6,6,walk,
caterpie,4,national-park-area,gold,20,time-morning,12,12,walk,
caterpie,4,national-park-area,crystal,5,time-morning,10,10,walk,
caterpie,4,national-park-area,heartgold,10,"time-morning, radio-off",12,12,walk,
caterpie,4,unknown-all-bugs-area,heartgold,1,,14,14,walk,
caterpie,4,kanto-route-2-south-towards-viridian-city,blue,1,,5,5,walk,
caterpie,4,kanto-route-2-south-towards-viridian-city,gold,30,time-morning,3,3,walk,
caterpie,4,kanto-route-2-south-towards-viridian-city,crystal,30,time-morning,3,3,walk,
caterpie,4,kanto-route-2-south-towards-viridian-city,firered,1,,5,5,walk,
caterpie,4,kanto-route-2-south-towards-viridian-city,leafgreen,1,,5,5,walk,
caterpie,4,kanto-route-2-south-towards-viridian-city,heartgold,1,time-day,4,4,walk,
caterpie,4,kanto-route-24-area,blue,20,,7,7,walk,
caterpie,4,kanto-route-24-area,crystal,20,time-day,10,10,walk,
caterpie,4,kanto-route-24-area,firered,20,,7,7,walk,
caterpie,4,kanto-route-24-area,leafgreen,20,,7,7,walk,
caterpie,4,kanto-route-25-area,red,1,,8,8,walk,
caterpie,4,kanto-route-25-area,blue,20,,8,8,walk,
caterpie,4,kanto-route-25-area,crystal,30,time-morning,10,10,walk,
caterpie,4,kanto-route-25-area,firered,20,,8,8,walk,
caterpie,4,kanto-route-25-area,leafgreen,20,,8,8,walk,
caterpie,4,kanto-route-2-north-towards-pewter-city,heartgold,1,time-day,4,4,walk,
caterpie,4,viridian-forest-area,red,5,,3,3,walk,
caterpie,4,viridian-forest-area,blue,10,,5,5,walk,
caterpie,4,viridian-forest-area,yellow,5,,6,6,walk,
caterpie,4,viridian-forest-area,firered,10,,3,3,walk,
caterpie,4,viridian-forest-area,leafgreen,10,,3,3,walk,
caterpie,4,viridian-forest-area,heartgold,20,"swarm-no, time-day",3,3,walk,
caterpie,4,pattern-bush-area,firered,10,,6,6,walk,
caterpie,4,pattern-bush-area,leafgreen,10,,6,6,walk,
caterpie,4,kalos-route-2-area,y,1,,4,4,walk,
caterpie,4,santalune-forest-area,x,10,,2,2,walk,
caterpie,4,santalune-forest-area,y,10,,3,3,walk,
metapod,4,eterna-forest-area,diamond,4,slot2-firered,12,12,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,eterna-forest-area,pearl,4,slot2-firered,12,12,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,eterna-forest-area,platinum,4,slot2-firered,13,13,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
metapod,4,johto-route-30-area,gold,1,time-day,5,5,walk,"{'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon-species/10/'}"
